year,pollutant,station_id,station_name,month,valid_days,who_exceedance_days,conama_exceedance_days,max_hourly_value,max_hourly_at,coverage_percent,data_quality_tier,validation_note
2023,PM2.5,71,VR - Santa Cecília,2023-09,30,4,1,46.99,2023-09-24T09:00:00,99.58,HIGH,Cobertura técnica de 99.6% com 30 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-10,30,0,0,27.15,2023-10-04T07:00:00,98.25,HIGH,Cobertura técnica de 98.3% com 30 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-11,28,5,0,40.71,2023-11-13T21:00:00,94.86,HIGH,Cobertura técnica de 94.9% com 28 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-12,31,1,0,48.31,2023-12-17T20:00:00,99.46,HIGH,Cobertura técnica de 99.5% com 31 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-01,31,0,0,112.71,2024-01-27T10:00:00,95.43,HIGH,Cobertura técnica de 95.4% com 31 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-02,28,3,0,131.05,2024-02-06T10:00:00,95.98,HIGH,Cobertura técnica de 96.0% com 28 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-03,30,3,2,139.37,2024-03-16T08:00:00,95.97,HIGH,Cobertura técnica de 96.0% com 30 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-04,30,9,5,231.12,2024-04-22T09:00:00,98.47,HIGH,Cobertura técnica de 98.5% com 30 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-05,31,7,3,149.86,2024-05-07T18:00:00,98.52,HIGH,Cobertura técnica de 98.5% com 31 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-06,30,9,3,367.52,2024-06-26T17:00:00,98.47,HIGH,Cobertura técnica de 98.5% com 30 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-07,31,2,2,110.58,2024-07-24T20:00:00,97.98,HIGH,Cobertura técnica de 98.0% com 31 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-08,24,7,5,143.66,2024-08-20T10:00:00,85.22,HIGH,Cobertura técnica de 85.2% com 24 dias válidos analiticamente.
2024,PM10,69,VR - Belmonte,2024-09,26,7,7,140.55,2024-09-12T19:00:00,87.50,HIGH,Cobertura técnica de 87.5% com 26 dias válidos analiticamente.
